DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             0.689               0.936            -0.247         4.365
RESSURF            0.689               0.927            -0.238         3.245
SOLIN            340.267             340.267             0.000         0.000
AAM            1.412e+26           1.434e+26        -2.249e+24      -999.000
CHI_200            0.004               0.002             0.001         0.371
CLDHGH            29.063              28.984             0.079         1.120
CLDLOW            33.007              33.147            -0.140         1.261
CLDMED            16.021              15.843             0.178         1.039
CLDTOT            51.104              51.107            -0.003         1.221
EKE_850           30.609              30.483             0.126         1.108
EP             5.986e-05           6.197e-05        -2.116e-06         0.295
FLNS              59.226              58.579             0.647         1.467
FLNSC             82.056              81.129             0.927         1.584
FLNT             233.325             234.509            -1.184         1.985
FLNTC            262.470             263.596            -1.125         1.392
FSDS             183.653             182.911             0.741         2.877
FSDSC            246.485             245.729             0.756         1.080
FSNS             158.955             160.013            -1.058         4.958
FSNSC            215.149             216.665            -1.516         6.619
FSNSC_ICE         54.661              54.079             0.583         3.824
FSNSC_LAND       179.614             179.180             0.433         1.045
FSNT             234.014             235.444            -1.431         4.773
FSNTC            286.363             288.301            -1.938         6.421
ICEAREA           23.721              22.428             1.292         0.045
LHFLX             81.935              83.413            -1.478         4.583
LWCF              29.146              29.087             0.058         1.195
PRECT              2.808               2.860            -0.052         0.293
PRECT_LAND         2.372               2.359             0.013         0.208
PRECT_OCEAN        3.110               3.187            -0.077         0.334
PREH2O            26.165              27.200            -1.035         1.440
PREH2O_OCEAN      30.411              31.641            -1.230         1.682
PSI_200           -0.034              -0.035             0.000         0.155
PS               985.452             985.553            -0.102         0.451
PSL             1011.151            1011.232            -0.081         0.451
QFLX               2.808               2.860            -0.052         0.144
SHFLX             17.105              17.094             0.011         1.421
SNOWHLND          11.214              11.295            -0.081         2.248
SST               20.616              21.182            -0.566         0.706
STRESS_MAG         0.068               0.067             0.001         0.005
SWCF             -52.349             -52.856             0.507         2.974
T_850            281.980             282.540            -0.560         0.643
TGCLDLWP         134.975             136.203            -1.228         7.575
TGCLDIWP          17.246              17.028             0.219         0.854
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.898             288.422            -0.524         0.652
TS               288.581             289.111            -0.530         0.678
TS_LAND          282.884             283.310            -0.426         0.556
U_200             15.492              15.678            -0.186         0.979
VT_850             0.178               0.117             0.061         0.457
Z3_500            56.776              56.908            -0.132         0.145
