DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             7.781               8.644            -0.862         6.478
RESSURF            7.044               7.670            -0.626         6.280
SOLIN            350.496             350.496             0.000         0.000
AAM            1.482e+26           1.502e+26        -2.037e+24      -999.000
CHI_200           -0.035              -0.035             0.000         0.330
CLDHGH            28.485              28.358             0.127         1.781
CLDLOW            32.451              32.458            -0.007         1.701
CLDMED            16.199              16.115             0.084         1.515
CLDTOT            50.337              50.257             0.080         1.884
EKE_850           27.810              27.920            -0.110         1.564
EP             6.774e-03           7.397e-03        -6.235e-04         0.431
FLNS              58.843              58.104             0.739         1.931
FLNSC             81.715              80.615             1.100         1.921
FLNT             230.371             231.547            -1.177         2.520
FLNTC            259.090             260.178            -1.088         1.548
FSDS             191.198             190.189             1.009         4.636
FSDSC            256.844             255.976             0.868         1.510
FSNS             163.159             164.855            -1.696         7.265
FSNSC            221.823             224.341            -2.518         9.737
FSNSC_ICE         30.609              26.228             4.381         3.211
FSNSC_LAND       145.249             144.963             0.285         1.663
FSNT             238.152             240.191            -2.039         7.007
FSNTC            292.607             295.527            -2.920         9.473
ICEAREA           22.068              20.841             1.227         0.047
LHFLX             82.445              84.178            -1.733         5.761
LWCF              28.720              28.631             0.089         1.752
PRECT              2.816               2.876            -0.060         0.411
PRECT_LAND         2.333               2.320             0.013         0.336
PRECT_OCEAN        3.147               3.235            -0.088         0.454
PREH2O            24.665              25.793            -1.128         1.708
PREH2O_OCEAN      29.730              31.127            -1.398         2.006
PSI_200           -0.001              -0.002             0.001         0.155
PS               985.305             985.415            -0.111         0.747
PSL             1011.318            1011.414            -0.095         0.758
QFLX               2.823               2.883            -0.061         0.173
SHFLX             14.828              14.903            -0.075         1.885
SNOWHLND          11.988              12.070            -0.082         2.237
SST               20.604              21.207            -0.603         0.766
STRESS_MAG         0.072               0.070             0.002         0.007
SWCF             -54.455             -55.336             0.881         4.702
T_850            280.327             280.874            -0.547         0.715
TGCLDLWP         135.152             136.473            -1.322        11.071
TGCLDIWP          17.657              17.445             0.212         1.303
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           285.974             286.469            -0.496         0.739
TS               286.613             287.115            -0.502         0.770
TS_LAND          276.207             276.493            -0.286         0.772
U_200             16.249              16.326            -0.077         1.186
VT_850            -0.629              -0.675             0.046         0.674
Z3_500            56.519              56.651            -0.132         0.150
