DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            -9.332              -9.544             0.212         3.241
RESSURF          -10.288             -10.455             0.167         5.223
SOLIN            330.385             330.385             0.000         0.000
AAM            1.199e+26           1.227e+26        -2.761e+24      -999.000
CHI_200            0.037               0.031             0.006         0.600
CLDHGH            30.324              30.334            -0.010         1.883
CLDLOW            35.582              35.759            -0.177         1.716
CLDMED            16.035              15.781             0.254         1.646
CLDTOT            54.044              54.083            -0.039         1.857
EKE_850           27.883              27.809             0.074         1.651
EP             1.154e-02           1.046e-02         1.074e-03         0.474
FLNS              57.875              57.273             0.602         1.889
FLNSC             81.241              80.421             0.820         1.753
FLNT             236.661             237.727            -1.066         2.820
FLNTC            266.574             267.651            -1.077         1.523
FSDS             171.196             170.817             0.379         3.992
FSDSC            235.368             234.743             0.625         1.081
FSNS             151.083             151.526            -0.443         4.210
FSNSC            208.648             209.077            -0.429         3.795
FSNSC_ICE         44.437              45.832            -1.395         4.105
FSNSC_LAND       215.118             214.463             0.656         1.614
FSNT             227.329             228.183            -0.854         4.012
FSNTC            281.201             282.088            -0.887         3.654
ICEAREA           24.689              23.356             1.333         0.065
LHFLX             84.038              85.293            -1.255         5.480
LWCF              29.913              29.924            -0.011         1.991
PRECT              2.872               2.917            -0.045         0.462
PRECT_LAND         2.409               2.392             0.018         0.356
PRECT_OCEAN        3.176               3.244            -0.068         0.518
PREH2O            28.290              29.277            -0.988         1.387
PREH2O_OCEAN      31.194              32.313            -1.119         1.558
PSI_200           -0.075              -0.074            -0.001         0.223
PS               985.660             985.757            -0.097         0.573
PSL             1011.029            1011.108            -0.078         0.565
QFLX               2.884               2.928            -0.044         0.163
SHFLX             19.458              19.415             0.043         2.217
SNOWHLND          10.189              10.296            -0.107         2.318
SST               20.332              20.868            -0.536         0.665
STRESS_MAG         0.080               0.078             0.002         0.008
SWCF             -53.872             -53.905             0.033         3.562
T_850            283.900             284.472            -0.572         0.676
TGCLDLWP         141.398             142.057            -0.659        11.994
TGCLDIWP          16.315              16.151             0.164         1.274
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           289.873             290.418            -0.545         0.700
TS               290.557             291.107            -0.550         0.730
TS_LAND          289.560             290.072            -0.512         0.673
U_200             13.362              13.694            -0.332         1.327
VT_850             1.013               0.933             0.081         0.765
Z3_500            57.130              57.259            -0.129         0.149
