DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             2.225               2.000             0.225         4.019
RESSURF           -0.483              -0.462            -0.021         5.217
SOLIN            338.254             338.254             0.000         0.000
AAM            1.585e+26           1.569e+26         1.663e+24      -999.000
CHI_200            0.005               0.004             0.001         0.538
CLDHGH            29.000              28.790             0.210         2.009
CLDLOW            31.248              31.458            -0.210         1.671
CLDMED            15.991              15.747             0.244         1.635
CLDTOT            49.642              49.627             0.015         1.955
EKE_850           28.451              28.184             0.267         1.861
EP             1.963e-02           1.934e-02         2.852e-04         0.489
FLNS              60.705              60.079             0.627         2.052
FLNSC             82.922              81.973             0.949         1.983
FLNT             232.627             234.069            -1.443         3.024
FLNTC            262.073             263.305            -1.232         1.680
FSDS             185.495             184.902             0.593         4.043
FSDSC            244.433             243.708             0.724         1.178
FSNS             160.020             160.851            -0.832         5.046
FSNSC            212.690             213.793            -1.103         5.534
FSNSC_ICE         39.332              40.487            -1.155         3.485
FSNSC_LAND       190.621             190.348             0.273         1.949
FSNT             234.852             236.069            -1.217         4.796
FSNTC            283.993             285.529            -1.536         5.399
ICEAREA           23.326              21.906             1.420         0.059
LHFLX             81.820              83.259            -1.439         6.531
LWCF              29.446              29.236             0.210         2.068
PRECT              2.781               2.832            -0.051         0.464
PRECT_LAND         2.289               2.260             0.028         0.323
PRECT_OCEAN        3.100               3.186            -0.086         0.530
PREH2O            25.743              26.824            -1.081         1.655
PREH2O_OCEAN      30.286              31.597            -1.311         1.934
PSI_200           -0.020              -0.021             0.001         0.212
PS               985.410             985.516            -0.106         0.638
PSL             1011.148            1011.227            -0.079         0.662
QFLX               2.801               2.851            -0.051         0.196
SHFLX             17.977              17.976             0.001         2.130
SNOWHLND          12.371              12.402            -0.031         2.235
SST               20.631              21.206            -0.576         0.748
STRESS_MAG         0.067               0.066             0.001         0.009
SWCF             -49.142             -49.460             0.319         3.667
T_850            281.912             282.495            -0.584         0.708
TGCLDLWP         128.811             129.960            -1.149        11.418
TGCLDIWP          17.765              17.424             0.340         1.437
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.853             288.410            -0.557         0.721
TS               288.578             289.141            -0.563         0.757
TS_LAND          282.527             283.012            -0.486         0.651
U_200             17.021              16.917             0.104         1.482
VT_850             0.228               0.179             0.048         0.826
Z3_500            56.715              56.856            -0.141         0.175
