DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -24.667             -25.434             0.767         1.483
RESSURF           -9.443              -9.463             0.020         2.302
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.287              -0.004            -0.283         0.352
CLDHGH            25.216              25.052             0.164         0.912
CLDLOW            30.324              30.650            -0.326         0.960
CLDMED            15.268              15.140             0.128         0.687
CLDTOT            46.384              46.452            -0.069         1.053
EKE_850           33.550              33.806            -0.256         0.940
EP            -1.069e-02          -2.662e-02         1.592e-02         0.149
FLNS              64.898              64.722             0.176         1.280
FLNSC             88.276              88.083             0.193         0.987
FLNT             230.594             231.294            -0.700         1.518
FLNTC            254.513             255.094            -0.582         0.968
FSDS             166.194             165.826             0.368         2.056
FSDSC            219.161             218.858             0.304         0.513
FSNS             137.433             137.108             0.325         1.924
FSNSC            183.145             182.911             0.234         1.277
FSNSC_ICE         48.197              47.667             0.530         2.236
FSNSC_LAND       165.317             165.050             0.267         1.172
FSNT             205.927             205.859             0.068         1.698
FSNTC            248.091             248.112            -0.022         1.167
ICEAREA           11.523              11.433             0.090         0.024
LHFLX             60.216              60.051             0.165         2.093
LWCF              23.919              23.801             0.118         0.842
PRECT              2.063               2.076            -0.013         0.143
PRECT_LAND         1.681               1.670             0.011         0.143
PRECT_OCEAN        2.648               2.688            -0.040         0.154
PREH2O            18.700              18.945            -0.245         0.497
PREH2O_OCEAN      24.809              25.178            -0.369         0.649
PSI_200           -6.619              -6.784             0.165         0.193
PS               976.657             977.007            -0.350         0.505
PSL             1015.581            1015.920            -0.339         0.502
QFLX               2.053               2.050             0.003         0.064
SHFLX             21.762              21.799            -0.036         1.209
SNOWHLND           4.210               4.380            -0.170         3.012
SST               18.478              18.596            -0.118         0.303
STRESS_MAG         0.049               0.049            -0.000         0.003
SWCF             -42.164             -42.253             0.090         1.634
T_850            278.931             279.189            -0.258         0.357
TGCLDLWP         125.656             126.952            -1.297         6.101
TGCLDIWP          19.342              19.259             0.083         0.673
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           283.362             283.549            -0.187         0.368
TS               283.907             284.090            -0.182         0.387
TS_LAND          281.068             281.293            -0.226         0.410
U_200             18.257              18.713            -0.455         0.949
VT_850             0.288               0.271             0.017         0.412
Z3_500            56.504              56.591            -0.087         0.101
