DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM          -103.520            -104.209             0.688         1.663
RESSURF          -75.828             -76.037             0.208         5.845
SOLIN            165.185             165.185             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.337               3.523            -0.186         0.304
CLDHGH            25.948              25.686             0.262         1.609
CLDLOW            27.174              27.450            -0.277         1.334
CLDMED            17.276              17.209             0.067         1.121
CLDTOT            44.489              44.513            -0.024         1.682
EKE_850           43.645              44.039            -0.393         1.945
EP             1.498e-01           1.408e-01         8.939e-03         0.219
FLNS              65.345              65.054             0.291         1.623
FLNSC             88.492              88.221             0.271         1.280
FLNT             212.601             213.155            -0.554         1.688
FLNTC            235.498             235.964            -0.466         1.393
FSDS              91.175              90.927             0.248         1.628
FSDSC            116.702             116.584             0.118         0.357
FSNS              74.240              74.011             0.229         1.832
FSNSC             95.904              95.808             0.096         1.331
FSNSC_ICE          1.668               1.607             0.061         0.176
FSNSC_LAND        77.993              77.869             0.124         1.928
FSNT             109.080             108.946             0.134         1.678
FSNTC            129.965             129.962             0.003         1.278
ICEAREA           13.971              13.780             0.191         0.036
LHFLX             67.465              67.699            -0.234         3.980
LWCF              22.898              22.809             0.088         1.159
PRECT              2.111               2.130            -0.019         0.194
PRECT_LAND         1.085               1.077             0.008         0.151
PRECT_OCEAN        3.463               3.510            -0.047         0.242
PREH2O            11.761              11.930            -0.168         0.471
PREH2O_OCEAN      18.727              19.000            -0.274         0.615
PSI_200           -8.096              -8.210             0.114         0.199
PS               976.976             977.583            -0.607         1.042
PSL             1017.240            1017.849            -0.609         1.078
QFLX               2.261               2.270            -0.010         0.122
SHFLX             17.259              17.295            -0.036         2.417
SNOWHLND           5.687               5.860            -0.173         2.993
SST               16.482              16.605            -0.123         0.334
STRESS_MAG         0.074               0.075            -0.001         0.007
SWCF             -20.885             -21.016             0.131         1.283
T_850            271.148             271.304            -0.156         0.525
TGCLDLWP         120.320             121.886            -1.565         8.718
TGCLDIWP          23.757              23.746             0.011         1.306
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           274.177             274.279            -0.102         0.672
TS               274.666             274.762            -0.096         0.692
TS_LAND          265.728             265.703             0.024         0.821
U_200             25.368              25.827            -0.458         1.447
VT_850             0.441               0.400             0.040         0.743
Z3_500            55.161              55.252            -0.091         0.137
