DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            52.560              51.698             0.861         2.682
RESSURF           54.826              54.598             0.228         3.014
SOLIN            445.896             445.896             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.914              -3.641            -0.274         0.476
CLDHGH            25.214              25.114             0.100         1.796
CLDLOW            37.329              37.684            -0.355         1.610
CLDMED            13.497              13.403             0.094         1.350
CLDTOT            52.214              52.313            -0.099         1.881
EKE_850           19.215              19.117             0.098         1.398
EP            -2.184e-01          -2.470e-01         2.862e-02         0.324
FLNS              59.762              59.656             0.106         2.093
FLNSC             84.204              84.018             0.186         1.587
FLNT             249.314             249.975            -0.661         2.769
FLNTC            274.556             275.123            -0.568         1.264
FSDS             232.848             232.367             0.481         4.591
FSDSC            319.994             319.598             0.396         1.156
FSNS             197.474             196.892             0.582         4.093
FSNSC            273.498             272.973             0.525         2.400
FSNSC_ICE        127.461             125.558             1.903         6.959
FSNSC_LAND       257.157             256.587             0.570         1.868
FSNT             301.874             301.674             0.201         3.623
FSNTC            371.210             371.063             0.147         2.133
ICEAREA            8.926               8.905             0.022         0.027
LHFLX             55.076              54.703             0.372         3.038
LWCF              25.241              25.148             0.093         1.808
PRECT              2.144               2.164            -0.020         0.323
PRECT_LAND         2.452               2.444             0.008         0.348
PRECT_OCEAN        1.945               1.994            -0.049         0.316
PREH2O            27.966              28.351            -0.385         0.830
PREH2O_OCEAN      32.340              32.875            -0.535         0.915
PSI_200           -4.350              -4.591             0.241         0.268
PS               975.761             976.096            -0.335         0.523
PSL             1013.382            1013.703            -0.321         0.521
QFLX               1.926               1.917             0.009         0.090
SHFLX             27.810              27.935            -0.125         1.769
SNOWHLND           2.262               2.483            -0.221         3.109
SST               20.078              20.195            -0.118         0.319
STRESS_MAG         0.047               0.048            -0.001         0.004
SWCF             -69.336             -69.389             0.054         3.643
T_850            287.883             288.170            -0.287         0.458
TGCLDLWP         135.217             136.244            -1.026        11.465
TGCLDIWP          14.017              13.965             0.052         1.204
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           292.626             292.839            -0.214         0.410
TS               293.207             293.419            -0.211         0.434
TS_LAND          296.401             296.733            -0.331         0.544
U_200              9.250               9.658            -0.407         1.137
VT_850             0.132               0.114             0.018         0.812
Z3_500            58.039              58.130            -0.091         0.110
