DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            18.097              17.249             0.847         2.583
RESSURF           17.856              18.134            -0.277         3.814
SOLIN            367.642             367.642             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.928               1.390            -0.462         0.516
CLDHGH            24.984              24.583             0.401         1.794
CLDLOW            27.469              27.794            -0.325         1.484
CLDMED            15.280              15.021             0.259         1.209
CLDTOT            44.021              43.906             0.115         1.892
EKE_850           33.685              33.829            -0.144         1.683
EP             2.617e-02           1.403e-02         1.214e-02         0.236
FLNS              70.236              70.147             0.089         1.984
FLNSC             93.264              93.039             0.224         1.389
FLNT             227.766             228.910            -1.144         2.383
FLNTC            251.377             252.141            -0.764         1.289
FSDS             209.697             209.387             0.310         3.969
FSDSC            268.655             268.225             0.430         0.945
FSNS             165.569             165.530             0.040         3.851
FSNSC            215.441             215.409             0.032         3.021
FSNSC_ICE         48.774              48.815            -0.041         3.249
FSNSC_LAND       194.356             194.273             0.083         2.461
FSNT             245.863             246.160            -0.297         3.402
FSNTC            290.649             290.956            -0.307         2.821
ICEAREA           14.460              14.235             0.224         0.043
LHFLX             53.059              52.868             0.191         3.281
LWCF              23.611              23.231             0.380         1.613
PRECT              1.771               1.780            -0.008         0.210
PRECT_LAND         1.523               1.509             0.015         0.212
PRECT_OCEAN        2.219               2.258            -0.039         0.227
PREH2O            15.029              15.272            -0.243         0.631
PREH2O_OCEAN      20.744              21.079            -0.336         0.836
PSI_200           -7.982              -7.951            -0.031         0.137
PS               977.011             977.190            -0.179         0.481
PSL             1015.923            1016.079            -0.156         0.487
QFLX               1.797               1.794             0.004         0.096
SHFLX             24.417              24.381             0.037         1.967
SNOWHLND           6.408               6.487            -0.079         2.978
SST               16.431              16.537            -0.106         0.350
STRESS_MAG         0.046               0.046            -0.000         0.005
SWCF             -44.786             -44.797             0.011         3.164
T_850            277.131             277.466            -0.335         0.522
TGCLDLWP         115.795             116.935            -1.140        10.153
TGCLDIWP          20.632              20.361             0.271         1.429
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.840             282.095            -0.255         0.503
TS               282.372             282.618            -0.246         0.522
TS_LAND          280.778             281.125            -0.347         0.590
U_200             20.784              21.194            -0.410         1.347
VT_850             0.462               0.451             0.012         0.847
Z3_500            56.109              56.198            -0.088         0.121
