DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -67.968             -68.647             0.679         1.745
RESSURF          -36.407             -36.292            -0.115         4.366
SOLIN            239.469             239.469             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.422              -1.206            -0.216         0.377
CLDHGH            24.742              24.827            -0.085         1.672
CLDLOW            29.249              29.561            -0.312         1.566
CLDMED            15.081              14.980             0.100         1.075
CLDTOT            44.762              44.998            -0.236         1.850
EKE_850           29.955              30.236            -0.281         1.605
EP             2.582e-03          -9.674e-03         1.226e-02         0.249
FLNS              64.268              64.059             0.210         1.942
FLNSC             87.164              87.060             0.104         1.386
FLNT             232.287             232.746            -0.459         2.175
FLNTC            256.213             256.733            -0.519         1.010
FSDS             129.021             128.592             0.429         2.620
FSDSC            168.532             168.249             0.283         0.613
FSNS             110.784             110.342             0.442         2.343
FSNSC            145.445             145.151             0.294         0.948
FSNSC_ICE         10.452              10.263             0.189         1.547
FSNSC_LAND       129.495             129.185             0.310         1.138
FSNT             164.319             164.100             0.219         2.143
FSNTC            197.422             197.346             0.076         0.736
ICEAREA            8.767               8.848            -0.081         0.033
LHFLX             65.478              65.142             0.336         3.761
LWCF              23.926              23.986            -0.060         1.516
PRECT              2.231               2.234            -0.003         0.233
PRECT_LAND         1.648               1.636             0.012         0.229
PRECT_OCEAN        2.965               2.987            -0.022         0.250
PREH2O            19.898              20.084            -0.186         0.649
PREH2O_OCEAN      26.523              26.880            -0.356         0.799
PSI_200           -6.081              -6.423             0.342         0.366
PS               976.892             977.173            -0.281         0.622
PSL             1015.823            1016.092            -0.268         0.624
QFLX               2.233               2.224             0.009         0.114
SHFLX             17.445              17.433             0.011         1.518
SNOWHLND           2.497               2.703            -0.207         3.117
SST               19.722              19.842            -0.119         0.269
STRESS_MAG         0.050               0.049             0.001         0.005
SWCF             -33.103             -33.246             0.144         2.172
T_850            279.440             279.691            -0.251         0.395
TGCLDLWP         131.208             132.540            -1.332         9.268
TGCLDIWP          19.069              19.066             0.003         1.098
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.609             284.782            -0.174         0.361
TS               285.189             285.359            -0.170         0.386
TS_LAND          281.021             281.263            -0.242         0.440
U_200             17.797              18.338            -0.541         1.361
VT_850             0.112               0.112            -0.000         0.801
Z3_500            56.673              56.748            -0.075         0.107
