DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            72.037              76.405            -4.368        10.770
RESSURF           81.007              84.113            -3.106         7.400
SOLIN            471.643             471.643             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -2.884              -3.050             0.166         0.323
CLDHGH            21.060              21.356            -0.296         1.772
CLDLOW            42.484              42.541            -0.057         2.027
CLDMED            13.766              13.710             0.056         1.467
CLDTOT            53.062              53.233            -0.171         2.061
EKE_850           29.790              29.843            -0.053         1.587
EP            -1.949e-02          -2.702e-02         7.530e-03         0.363
FLNS              56.422              55.252             1.169         2.358
FLNSC             85.991              84.378             1.613         2.273
FLNT             235.829             237.280            -1.451         2.492
FLNTC            258.402             260.114            -1.712         1.825
FSDS             262.684             259.835             2.849         6.599
FSDSC            356.643             354.866             1.778         2.368
FSNS             211.089             216.448            -5.359        11.825
FSNSC            292.482             300.886            -8.405        16.851
FSNSC_ICE        122.882             121.115             1.767         7.080
FSNSC_LAND       190.767             190.275             0.492         1.451
FSNT             307.866             313.685            -5.819        11.445
FSNTC            380.371             389.240            -8.868        16.420
ICEAREA            8.097               7.061             1.036         0.054
LHFLX             62.843              66.053            -3.209         7.075
LWCF              22.573              22.834            -0.261         1.769
PRECT              2.169               2.290            -0.121         0.365
PRECT_LAND         2.742               2.802            -0.060         0.354
PRECT_OCEAN        2.076               2.211            -0.135         0.380
PREH2O            20.999              22.583            -1.584         2.075
PREH2O_OCEAN      22.702              24.351            -1.650         2.288
PSI_200            6.608               6.613            -0.005         0.102
PS               983.856             983.509             0.347         0.733
PSL             1007.171            1006.784             0.387         0.718
QFLX               2.149               2.263            -0.113         0.225
SHFLX             10.816              11.030            -0.214         1.528
SNOWHLND          46.942              46.890             0.052         1.194
SST               16.033              16.977            -0.944         1.056
STRESS_MAG         0.084               0.080             0.004         0.007
SWCF             -72.505             -75.555             3.050         7.083
T_850            279.203             280.097            -0.894         0.944
TGCLDLWP         144.948             147.740            -2.791        12.260
TGCLDIWP          16.787              16.496             0.290         1.417
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.740             285.586            -0.845         0.929
TS               285.225             286.105            -0.880         0.991
TS_LAND          275.870             276.705            -0.835         0.902
U_200             19.694              19.712            -0.018         1.039
VT_850            -0.094              -0.100             0.006         0.745
Z3_500            55.897              56.060            -0.163         0.169
