DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -69.599             -68.475            -1.124         5.784
RESSURF          -43.839             -43.907             0.068         6.248
SOLIN            232.634             232.634             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.309              -0.760             0.451         0.533
CLDHGH            24.031              24.161            -0.130         1.679
CLDLOW            38.712              39.126            -0.414         1.786
CLDMED            16.252              16.008             0.244         1.290
CLDTOT            51.931              52.292            -0.361         1.812
EKE_850           42.766              41.850             0.916         2.597
EP             1.451e-01           1.525e-01        -7.398e-03         0.281
FLNS              59.205              58.137             1.068         2.230
FLNSC             87.168              85.799             1.369         2.329
FLNT             225.934             227.689            -1.754         2.562
FLNTC            250.359             252.279            -1.920         2.099
FSDS             123.205             121.689             1.516         3.401
FSDSC            167.527             166.543             0.985         1.373
FSNS             106.781             109.368            -2.587         6.559
FSNSC            145.548             149.676            -4.128         9.075
FSNSC_ICE         21.709              21.246             0.463         3.974
FSNSC_LAND       103.706             103.381             0.325         0.601
FSNT             156.335             159.213            -2.878         6.405
FSNTC            192.923             197.375            -4.452         8.949
ICEAREA            8.866               7.671             1.195         0.071
LHFLX             79.261              82.976            -3.715         8.559
LWCF              24.425              24.590            -0.165         1.547
PRECT              2.535               2.656            -0.121         0.356
PRECT_LAND         1.545               1.552            -0.007         0.272
PRECT_OCEAN        2.783               2.929            -0.146         0.380
PREH2O            18.572              20.052            -1.480         1.897
PREH2O_OCEAN      20.816              22.395            -1.580         2.084
PSI_200            7.914               7.712             0.202         0.273
PS               983.456             983.447             0.009         0.958
PSL             1007.329            1007.269             0.060         1.006
QFLX               2.680               2.809            -0.129         0.285
SHFLX             12.155              12.162            -0.007         2.345
SNOWHLND          46.952              46.899             0.054         1.271
SST               15.621              16.539            -0.918         1.026
STRESS_MAG         0.093               0.092             0.001         0.012
SWCF             -36.588             -38.162             1.574         3.556
T_850            276.977             277.856            -0.879         0.958
TGCLDLWP         145.182             148.318            -3.135        10.677
TGCLDIWP          20.844              20.377             0.467         1.433
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.912             282.823            -0.912         1.000
TS               282.502             283.440            -0.938         1.063
TS_LAND          264.069             264.840            -0.772         0.852
U_200             24.661              24.478             0.183         1.779
VT_850            -0.156              -0.134            -0.022         1.031
Z3_500            55.348              55.548            -0.199         0.241
