DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            16.957              20.441            -3.484         9.382
RESSURF           28.905              31.281            -2.376         5.946
SOLIN            367.302             367.302             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.895               1.720             0.175         0.301
CLDHGH            24.814              25.057            -0.244         1.646
CLDLOW            38.932              39.329            -0.397         1.608
CLDMED            15.443              15.263             0.180         1.203
CLDTOT            52.707              53.052            -0.345         1.685
EKE_850           42.582              42.038             0.544         2.117
EP             1.148e-01           1.228e-01        -7.958e-03         0.241
FLNS              62.519              61.713             0.806         1.811
FLNSC             91.561              90.625             0.936         1.588
FLNT             223.120             224.346            -1.227         2.132
FLNTC            246.305             247.942            -1.638         1.776
FSDS             208.619             206.254             2.364         4.614
FSDSC            277.533             276.243             1.290         1.749
FSNS             166.438             170.963            -4.525        10.606
FSNSC            224.648             231.932            -7.284        14.795
FSNSC_ICE         63.230              63.180             0.050         6.436
FSNSC_LAND       149.568             149.273             0.294         0.620
FSNT             240.077             244.788            -4.711        10.014
FSNTC            291.934             299.377            -7.444        14.156
ICEAREA           16.026              14.752             1.274         0.079
LHFLX             62.118              65.129            -3.011         6.753
LWCF              23.185              23.596            -0.411         1.557
PRECT              1.973               2.070            -0.096         0.242
PRECT_LAND         1.514               1.579            -0.065         0.191
PRECT_OCEAN        2.093               2.197            -0.104         0.263
PREH2O            14.940              15.969            -1.029         1.307
PREH2O_OCEAN      17.209              18.314            -1.105         1.456
PSI_200            7.234               7.443            -0.209         0.233
PS               983.325             983.229             0.096         0.537
PSL             1007.016            1006.879             0.137         0.571
QFLX               2.088               2.192            -0.104         0.217
SHFLX             12.896              12.840             0.056         2.103
SNOWHLND          47.015              46.977             0.038         1.051
SST               13.057              13.861            -0.804         0.883
STRESS_MAG         0.103               0.103             0.000         0.006
SWCF             -51.857             -54.589             2.732         5.453
T_850            274.747             275.523            -0.776         0.815
TGCLDLWP         134.701             138.099            -3.398         9.510
TGCLDIWP          20.989              20.799             0.190         1.394
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           279.632             280.402            -0.771         0.827
TS               280.117             280.907            -0.789         0.871
TS_LAND          266.406             267.115            -0.710         0.773
U_200             27.308              27.327            -0.019         1.193
VT_850            -0.244              -0.245             0.000         0.590
Z3_500            54.874              55.038            -0.163         0.182
