DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            49.046              48.267             0.779         1.915
RESSURF           15.986              15.516             0.470         3.341
SOLIN            408.204             408.204             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.512              -0.533             0.021         0.391
CLDHGH            36.516              36.264             0.251         1.307
CLDLOW            29.381              29.157             0.224         1.397
CLDMED            17.002              16.742             0.259         1.388
CLDTOT            53.469              53.146             0.323         1.367
EKE_850           15.220              15.127             0.094         0.804
EP            -9.957e-02          -7.884e-02        -2.073e-02         0.447
FLNS              52.566              51.782             0.784         1.469
FLNSC             68.925              67.540             1.386         1.825
FLNT             244.274             245.681            -1.407         2.445
FLNTC            283.340             284.395            -1.054         1.243
FSDS             215.531             215.635            -0.103         2.940
FSDSC            292.376             291.567             0.809         0.915
FSNS             200.048             200.100            -0.052         2.700
FSNSC            272.325             271.554             0.771         0.860
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       245.928             245.061             0.867         1.030
FSNT             293.320             293.948            -0.628         2.588
FSNTC            362.123             362.071             0.052         0.235
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            114.306             115.701            -1.395         4.104
LWCF              39.066              38.714             0.352         1.523
PRECT              4.062               4.086            -0.025         0.413
PRECT_LAND         4.240               4.180             0.060         0.316
PRECT_OCEAN        3.999               4.051            -0.052         0.439
PREH2O            42.461              44.030            -1.569         1.835
PREH2O_OCEAN      44.070              45.792            -1.722         1.956
PSI_200           -0.724              -0.600            -0.123         0.149
PS               995.914             995.980            -0.067         0.230
PSL             1010.630            1010.687            -0.057         0.221
QFLX               3.962               4.008            -0.045         0.105
SHFLX             17.189              17.100             0.089         1.385
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.290              27.816            -0.526         0.573
STRESS_MAG         0.054               0.052             0.002         0.005
SWCF             -68.803             -68.123            -0.680         2.709
T_850            290.335             290.911            -0.576         0.596
TGCLDLWP         138.111             137.052             1.060         8.492
TGCLDIWP          12.029              11.750             0.279         0.845
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.046             299.578            -0.532         0.566
TS               300.010             300.541            -0.531         0.570
TS_LAND          298.490             299.048            -0.558         0.573
U_200              2.934               3.135            -0.202         0.904
VT_850             0.442               0.274             0.168         0.406
Z3_500            58.619              58.753            -0.134         0.134
