DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            29.305              29.184             0.121         2.639
RESSURF           -2.652              -2.474            -0.178         5.449
SOLIN            389.195             389.195             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.481              -0.497             0.015         0.732
CLDHGH            34.551              34.590            -0.039         2.196
CLDLOW            31.934              31.686             0.248         1.901
CLDMED            17.014              16.446             0.568         2.144
CLDTOT            54.006              53.801             0.204         2.148
EKE_850           10.579              10.628            -0.049         0.971
EP             4.549e-02           9.743e-02        -5.195e-02         0.713
FLNS              50.759              49.915             0.844         1.759
FLNSC             67.497              66.075             1.423         1.894
FLNT             245.724             246.948            -1.224         3.456
FLNTC            283.404             284.383            -0.979         1.311
FSDS             198.240             198.754            -0.514         4.598
FSDSC            276.166             275.258             0.908         1.172
FSNS             183.827             184.251            -0.424         4.213
FSNSC            256.871             256.013             0.857         1.110
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       231.937             230.730             1.207         1.611
FSNT             275.028             276.132            -1.103         4.175
FSNTC            344.460             344.413             0.048         0.290
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            118.663             119.924            -1.261         6.012
LWCF              37.681              37.435             0.245         2.578
PRECT              4.048               4.032             0.015         0.667
PRECT_LAND         3.450               3.364             0.086         0.458
PRECT_OCEAN        4.228               4.237            -0.009         0.719
PREH2O            43.204              44.751            -1.547         1.837
PREH2O_OCEAN      44.809              46.437            -1.627         1.916
PSI_200           -3.056              -2.961            -0.095         0.173
PS               997.451             997.397             0.054         0.252
PSL             1012.203            1012.136             0.067         0.249
QFLX               4.093               4.130            -0.037         0.150
SHFLX             17.057              16.887             0.170         1.699
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.114              27.636            -0.522         0.578
STRESS_MAG         0.073               0.070             0.003         0.006
SWCF             -69.432             -68.281            -1.151         4.335
T_850            290.210             290.816            -0.607         0.639
TGCLDLWP         149.259             145.695             3.564        14.468
TGCLDIWP          11.777              11.548             0.229         1.292
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.922             299.467            -0.545         0.591
TS               299.812             300.357            -0.545         0.600
TS_LAND          298.199             298.834            -0.634         0.679
U_200              0.582               1.400            -0.819         1.313
VT_850             3.109               2.874             0.235         0.590
Z3_500            58.777              58.899            -0.122         0.123
