DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            56.876              55.941             0.936         2.917
RESSURF           23.953              23.809             0.144         5.298
SOLIN            412.713             412.713             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.592              -0.604             0.012         0.562
CLDHGH            37.775              37.419             0.356         2.453
CLDLOW            27.648              27.548             0.100         1.728
CLDMED            16.431              16.201             0.230         2.200
CLDTOT            52.896              52.611             0.285         2.141
EKE_850           10.395              10.347             0.048         1.007
EP            -1.093e-01          -1.056e-01        -3.786e-03         0.757
FLNS              52.862              52.141             0.721         1.932
FLNSC             68.673              67.428             1.245         2.104
FLNT             243.911             245.341            -1.430         3.880
FLNTC            283.961             284.979            -1.018         1.553
FSDS             222.696             222.730            -0.033         4.647
FSDSC            295.890             295.133             0.757         1.178
FSNS             206.599             206.568             0.031         4.325
FSNSC            275.582             274.840             0.742         1.049
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       247.870             247.247             0.623         1.325
FSNT             300.787             301.281            -0.494         4.067
FSNTC            366.444             366.332             0.112         0.329
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            112.410             113.218            -0.808         6.626
LWCF              40.050              39.638             0.412         2.784
PRECT              4.007               4.031            -0.024         0.686
PRECT_LAND         4.320               4.240             0.080         0.493
PRECT_OCEAN        3.904               3.961            -0.057         0.737
PREH2O            43.213              44.721            -1.508         2.045
PREH2O_OCEAN      44.939              46.637            -1.698         2.202
PSI_200            0.007               0.172            -0.164         0.205
PS               995.522             995.670            -0.148         0.279
PSL             1010.214            1010.353            -0.139         0.273
QFLX               3.898               3.925            -0.027         0.158
SHFLX             17.374              17.400            -0.026         2.061
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.778              28.274            -0.496         0.565
STRESS_MAG         0.053               0.050             0.002         0.007
SWCF             -65.657             -65.051            -0.606         4.194
T_850            290.885             291.426            -0.541         0.573
TGCLDLWP         125.534             124.751             0.783        13.152
TGCLDIWP          11.956              11.671             0.284         1.449
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.529             300.035            -0.506         0.557
TS               300.573             301.080            -0.506         0.568
TS_LAND          299.329             299.881            -0.552         0.594
U_200              5.882               5.354             0.528         1.274
VT_850             0.365               0.217             0.148         0.545
Z3_500            58.641              58.778            -0.136         0.137
