DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: corey30 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2030-2049)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            56.448              55.446             1.002         2.795
RESSURF           27.062              26.162             0.900         5.128
SOLIN            417.955             417.955             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.423              -0.462             0.038         0.461
CLDHGH            35.538              35.255             0.283         2.080
CLDLOW            30.105              29.880             0.226         1.656
CLDMED            17.048              16.938             0.110         1.759
CLDTOT            53.570              53.212             0.358         1.925
EKE_850           11.218              11.347            -0.129         1.241
EP            -2.271e-01          -2.203e-01        -6.764e-03         0.628
FLNS              51.860              51.015             0.845         1.804
FLNSC             68.680              67.199             1.481         1.965
FLNT             245.058             246.486            -1.428         3.230
FLNTC            283.192             284.303            -1.111         1.424
FSDS             222.305             222.094             0.211         4.113
FSDSC            301.404             300.536             0.869         1.058
FSNS             206.747             206.534             0.213         3.819
FSNSC            281.243             280.428             0.815         1.014
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       255.232             254.045             1.187         1.547
FSNT             301.506             301.932            -0.426         3.562
FSNTC            372.034             372.022             0.011         0.284
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            109.876             111.599            -1.723         5.807
LWCF              38.134              37.818             0.316         2.307
PRECT              4.053               4.105            -0.052         0.575
PRECT_LAND         4.721               4.723            -0.002         0.470
PRECT_OCEAN        3.836               3.905            -0.069         0.604
PREH2O            42.526              44.134            -1.608         1.888
PREH2O_OCEAN      43.636              45.331            -1.695         1.950
PSI_200           -1.254              -1.124            -0.131         0.185
PS               995.817             995.911            -0.094         0.261
PSL             1010.509            1010.595            -0.086         0.253
QFLX               3.826               3.885            -0.059         0.148
SHFLX             17.949              17.758             0.191         1.675
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.049              27.592            -0.543         0.591
STRESS_MAG         0.055               0.053             0.002         0.006
SWCF             -70.527             -70.090            -0.437         3.677
T_850            290.386             290.951            -0.565         0.593
TGCLDLWP         137.607             138.040            -0.433        10.750
TGCLDIWP          11.841              11.572             0.269         1.158
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.023             299.561            -0.538         0.574
TS               300.009             300.550            -0.541         0.586
TS_LAND          299.256             299.796            -0.540         0.577
U_200              1.295               2.088            -0.793         1.296
VT_850             0.338               0.144             0.194         0.530
Z3_500            58.602              58.738            -0.136         0.137
